24.09 10:20:16 | хабар: 5/6 манзилга етди
24.09 11:49:47 | эслатма: 12:00 (10 дақиқа қолди, 1 дарс)
24.09 11:49:48 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 11:49:48 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 11:49:52 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 11:49:55 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 11:50:00 | хабар: 5/6 манзилга етди
24.09 13:19:47 | эслатма: 13:30 (10 дақиқа қолди, 1 дарс)
24.09 13:19:48 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 13:19:48 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 13:19:52 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 13:19:55 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 13:20:01 | хабар: 5/6 манзилга етди
24.09 14:49:48 | эслатма: 15:00 (10 дақиқа қолди, 1 дарс)
24.09 14:49:49 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 14:49:49 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 14:49:52 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 14:49:56 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 14:50:02 | хабар: 5/6 манзилга етди
24.09 14:58:42 | цикл тугади
24.09 14:58:54 | бот таърифи ва буйруқлар рўйхати янгиланди
24.09 14:58:55 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
24.09 16:19:33 | бугун 16:30 да дарс йўқ
24.09 18:00:05 | kech хабари: 2026-09-25 (5 дарс)
24.09 18:00:05 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 18:00:06 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 18:00:09 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 18:00:13 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 18:00:19 | хабар: 5/6 манзилга етди
24.09 20:28:57 | цикл тугади
25.09 00:43:19 | бот таърифи ва буйруқлар рўйхати янгиланди
25.09 00:43:20 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
25.09 01:00:37 | бот таърифи ва буйруқлар рўйхати янгиланди
25.09 01:00:37 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
25.09 06:30:55 | цикл тугади
25.09 06:31:04 | бот таърифи ва буйруқлар рўйхати янгиланди
25.09 06:31:05 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
25.09 08:00:07 | erta хабари: 2026-09-25 (5 дарс)
25.09 08:00:07 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 08:00:07 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 08:00:10 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 08:00:14 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 08:00:19 | хабар: 5/6 манзилга етди
25.09 08:49:34 | эслатма: 9:00 (10 дақиқа қолди, 2 дарс)
25.09 08:49:34 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 08:49:34 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 08:49:38 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 08:49:41 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 08:49:46 | хабар: 5/6 манзилга етди
25.09 08:49:47 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 08:49:48 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 08:49:51 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 08:49:54 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 08:49:59 | хабар: 5/6 манзилга етди
25.09 10:19:45 | эслатма: 10:30 (10 дақиқа қолди, 1 дарс)
25.09 10:19:45 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 10:19:46 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 10:19:49 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 10:19:52 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 10:19:57 | хабар: 5/6 манзилга етди
25.09 11:49:35 | бугун 12:00 да дарс йўқ
25.09 12:01:13 | цикл тугади
25.09 12:01:24 | бот таърифи ва буйруқлар рўйхати янгиланди
25.09 12:01:25 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
25.09 13:19:41 | бугун 13:30 да дарс йўқ
25.09 14:49:38 | эслатма: 15:00 (10 дақиқа қолди, 1 дарс)
25.09 14:49:38 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 14:49:38 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 14:49:42 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 14:49:45 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 14:49:51 | хабар: 5/6 манзилга етди
25.09 16:19:52 | эслатма: 16:30 (10 дақиқа қолди, 1 дарс)
25.09 16:19:53 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 16:19:53 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 16:19:57 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 16:20:00 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 16:20:06 | хабар: 5/6 манзилга етди
25.09 17:31:46 | цикл тугади
25.09 17:31:59 | бот таърифи ва буйруқлар рўйхати янгиланди
25.09 17:32:00 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
25.09 18:00:29 | kech хабари: 2026-09-28 (8 дарс)
25.09 18:00:29 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
